tweet,manual_toxicity,predicted_toxic,predicted_verytoxic,predicted_toxic_value,predicted_verytoxic_value
Crees que Irene Montero está MALTRATANDO INJUSTAMENTE a la mayoria de los hombres???,1,0.9964796900749207,0.947788655757904,2,2
"Descubro accidentalmente que Javier Ortega Smith me tiene bloqueada. Se ve que algunos de mis tweets les hacen pupita a los bozaleros, vacuneros y disidencia controlada de Vox. A ningún traidor le gusta que le echen en cara su falta de moralidad",1,0.9942271709442139,0.9959847927093506,2,2
"Muy necesaria las vacunas a los niños, ya que han muerto 20 en toda España por covid.",1,0.08666453510522842,0.0009766885777935386,0,0
"Muy bien, Pedro. Un día menos para que te hechemos, usurpador.",1,0.9905153512954712,0.47176679968833923,2,0
"Lo de lograr la inmunidad de rebaño lo van consiguiendo, porque somos una sociedad de borregos que pese a ver sus derechos más fundamentales pisoteados por estos políticos que nos gobiernan, no hemos salido a la calle a gritar basta ya",1,0.9886646270751953,0.05767717957496643,2,0
"El acoso que sufrió @PabloIglesias, @IreneMontero y sus hijos, frente a su casa, también es condenable.",1,0.015507746487855911,0.0016316459514200687,0,0
Soy yo el unico que piensa que Irene Montero necesita ayuda psiquiatrica?,1,0.10519038140773773,0.0014271512627601624,0,0
"Buena propuesta de ley, no hagáis más.",1,0.010827843099832535,0.0018111788667738438,0,0
"A Isabel Díaz Ayuso, después de esto, no le queda otra opción que dimitir. Qué menos.",1,0.944199800491333,0.01091187633574009,2,0
"Si tan lista es Ayuso, ¿por qué no deduce con claridad la responsabilidad de las muertes en residencias?",1,0.8189152479171753,0.003035122761502862,1,0
"La definición de tener más cara que espalda. Señora @IdiazAyuso, no va a colar",1,0.19826695322990417,0.0017494431231170893,0,0
"Buen discurso de Ayuso, pero mis dos cacatúas hablan mejor sin tener que leer ningún papel",1,0.10344894975423813,0.0011468261945992708,0,0
Ayuso se gasta más de 17 millones en toros y ahora le faltan 17 millones para sanidad,1,0.9205292463302612,0.00927866343408823,2,0
"Algunos por lo menos pagan el chalé, no como Espinosa de los Monteros y Rocío Monasterio",1,0.3720206022262573,0.004637166392058134,0,0
"Mejor votarte a ti, que pides Netflix en catalán. Todo lo que necesita el obrero.",1,0.9872657060623169,0.05611409246921539,2,0
"Estoy de acuerdo, mejor votar a la extrema izquierda nacionalista destructora de familias",1,0.9961108565330505,0.9816665649414062,2,2
