emoji,count,total_toxicity,mean,most_toxic,most_toxic_text
😭,1,0.8678582,0.8678582,0.8678582,"😭 Cada vez que pienso que esta señora, señoro o señore, 

💰utiliza 451 millones de euros de todos los españoles para hacer el mamarracho, mamarracha o mamarrache... https://t.co/5dj8b4i8Rg"
🤮,1,0.7653171999999999,0.7653171999999999,0.7653171999999999,"🤮 Bruja, borracha, pervertido, estás mal de la cabeza… esos insultos los hemos escuchado estos días en el Congreso.

❌ No es mala educación de la ultraderecha. Es una estrategia premeditada para meter miedo.

Aquí os dejo mi artículo en @publico_es 👉 https://t.co/6pHxhkJeGv"
🤨,1,0.7343341,0.7343341,0.7343341,"Que no... que no son lo mismo....todo el día con la tabarra de que Bildu es ETA...

Malditos. 

Por cierto... esto son los “amigos” de @MESperMallorca o me confundo? 🤨 https://t.co/4PdDKTWSfO"
🙋,1,0.65758085,0.65758085,0.65758085,"Que levante la mano el que NO se haya reunido con el mafioso de las cloacas Villarejo. 🙋

Que así acabamos antes. https://t.co/ERoMkyXZ0u"
👷,1,0.60570884,0.60570884,0.60570884,"Mañana, 1 de mayo, tú decides:

🦐 Sindicatos subvencionados y Ministra comunista de Vanity Fair.

👷 @solidaridad_esp. 

Pagarles las mariscadas y las mechas/Defenderte.

Yo os veré en Conde Casal con @Rodrigo_AlonsoF. Llenemos las calles de auténtica lucha. https://t.co/iXI01uSavX"
🦐,1,0.60570884,0.60570884,0.60570884,"Mañana, 1 de mayo, tú decides:

🦐 Sindicatos subvencionados y Ministra comunista de Vanity Fair.

👷 @solidaridad_esp. 

Pagarles las mariscadas y las mechas/Defenderte.

Yo os veré en Conde Casal con @Rodrigo_AlonsoF. Llenemos las calles de auténtica lucha. https://t.co/iXI01uSavX"
😎,1,0.54396963,0.54396963,0.54396963,EX Diputado delincuente 😎 https://t.co/vPxUSEgb7x
🤘🏻,1,0.5310712,0.5310712,0.5310712,"Defendemos la libertad.
No defendemos a los miserables.

@educarazo 🤘🏻 https://t.co/BscrhIrqE9"
💰,1,0.52279174,0.52279174,0.52279174,"💰 Un partido corrupto pretende gobernar España con un partido de ultra derecha que vulnera derechos. Todo en orden. 

¿Ahora es cuando le retirarán el acta a todos los diputados del PP corrupto? Ah no, la corrupción no es delito. Defender la educación pública, si 👇 https://t.co/y3mpBgwzzM"
👼🏼,1,0.52066797,0.52066797,0.52066797,"👼🏼 ""Ya es hora de que la basura empiece a fluir por donde tiene que ir, que es por las cloacas"", así se refería Gregorio Ordóñez al brazo político de ETA.

Hoy, 23 de enero, 26 años después de su asesinato por ETA. No olvidamos. https://t.co/4OFlpf14cB"
🖊,1,0.5184234000000001,0.5184234000000001,0.5184234000000001,"🖊 Vergonzosa y humillante: así es la crónica de la traición del Gobierno a todos los españoles y, sobre todo, a los catalanes, hartos de la impunidad de los golpistas. Cataluña sí, indultos no. https://t.co/PIK72Z2WrR"
🙈,1,0.48755354,0.48755354,0.48755354,"Parece que los terraplanistas se han vuelto a tragar otro bulaco y están tuiteando #TuPrimerLouisVuittonIrene.

A ver, chavalería incel y voxera. Que no es de @IreneMontero el bolso. Que es mentira.

¿Para ser de ultraderecha hay que comer bulos desayuno, comida y cena? 🙈"
🇧🇷,3,1.4345886799999998,0.4781962266666666,0.6386644,"🛑 Brasil 🇧🇷 

Bolsonaro, hundido en su popularidad, lanza bravuconadas golpistas. 

Mientras, las mujeres indígenas se movilizan así para dejarle claro que no permitirán el saqueo de sus tierras y sus ríos.

#MarchaDasMulheresIndigenas 

https://t.co/bvDHQmutSe"
🔜,2,0.8072720999999999,0.40363604999999997,0.61538047,"📹 España necesita que prioricen el Pacto de Estado contra la #ViolenciaGénero,➕recursos para las #FCSE que luchan contra esta lacra, así como una Ley contra la Trata que nunca llega.

🔜 Dejen sus guerras cainitas para ver quién es más feminista y pónganse a trabajar. #PGE2022 https://t.co/fMX0n9JUAH"
🔄,2,0.7749800270000001,0.38749001350000006,0.7158534000000001,"- Vox genera odio homófobo y contra los migrantes.
- El PP lo blanquea. 
- Hay gente que se siente legitimada para hacer ataques homófobos y racistas. 
🔄"
🤷🏼,1,0.38734248,0.38734248,0.38734248,"Así acabó hoy la manifestación antifascista en Vallecas.

Cuando no van a difundir odio y a provocar cargas policiales los racistas, los homófobos, los que revindican la dictadura franquista y el terrorismo de estado, todo transcurre con normalidad y sin incidentes. 🤷🏼 https://t.co/m39QCBxDjK"
🌈,10,3.5388677790000003,0.3538867779,0.94604987,"Ekain Perrino tiene 23 años. 

Hace días, 13 homófobos, al grito de ""maricón de mierda, das asco"", le dieron una brutal paliza que le dejó hospitalizado. 

Hoy todo el pueblo de Basauri se ha volcado a las calles a darle apoyo y a decir “no”a la homofobia 🌈

#StopHomofobia https://t.co/gKUGCMkYhV"
🤯,1,0.3426463,0.3426463,0.3426463,"El código de integridad política de los representantes del PP no es líquido, es... gaseoso 🤯
Se evapora con los años; su vergüenza, si la tienen, prescribe y olvida con facilidad. 
Un cargo político debe responder siempre de lo que hace o hizo. https://t.co/aMpsXiJKwQ"
💶,2,0.674125857,0.3370629285,0.61499923,"💶 @sanchezcastejon quiere asfixiar a los Ayuntamientos para disimular su incompetencia: ¡no tiene vergüenza!

✍️ Ya podéis leer mi nuevo artículo en @merca2_es

👉 https://t.co/1NROTxvOPv https://t.co/C0a3hLl5ZO"
🦹‍♂️,1,0.32883534,0.32883534,0.32883534,"‼️ ¿Qué hacemos? ¿Aceptamos pulpo como regularización voluntaria? La primera fue una sinvergonzonería impropia de un jefe de estado; la segunda ya parece hasta cachondeo.

🦹‍♂️ Toma el dinero y corre https://t.co/mfCSvMMgku"
⛔,2,0.61640792,0.30820396,0.4172059,"⚠️ No queremos una inmigración subvencionada a costa de la España que madruga, trabaja y paga impuestos.

#PSOE lo fomenta y #PP calla, pero #VOX lo tiene claro: Podemos frenar la invasión migratoria, por la seguridad y el bienestar de los españoles.

⛔ #StopInvasionMigratoria https://t.co/h3tEUL067n"
✊🏽,1,0.29967824,0.29967824,0.29967824,"""No hay un feminismo, sino muchos. El feminismo eficaz tiene que luchar contra la homofobia, la explotación de clase, raza y género, el capitalismo y el imperialismo""

Hoy cumple hoy 77 años Angela Davis, referente de lucha por los derechos de las mujeres y contra el racismo ✊🏽 https://t.co/JEO7PslRjR"
💪🏾,2,0.59057683,0.295288415,0.3100549,"🏛️María Filigrana, en la Comisión del Pacto de Estado contra la #ViolenciaDeGènero del @Senadoesp en representación de @fakaligitanas

""Las gitanas afrontamos las desigualdades del patriarcado, el racismo antigitano y la pobreza que deriva de él""
Brava! 💪🏾 https://t.co/shWsVr0WRt"
🤥,5,1.469448,0.29388960000000003,0.61682326,"En Toledo se reparten 6 escaños.

✅ En las elecciones del #28A, VOX arrebató el sexto escaño a Podemos.

✅ En las elecciones del #10N, evitamos que el sexto escaño fuese para el PSOE.

Otro ejemplo que demuestra que Pablo Casado miente.

#CasadoMentiroso 🤥 https://t.co/mQLRMGRq4i"
😱,2,0.581579364,0.290789682,0.47914493,"Pero no se te ocurra llamarles incompetentes..

😱 Sánchez y su gobierno han ¿perdido? más de 30.000 vacunas
👉 Las CCAA han perdido 0 vacunas

🤦Desaparecen otras 7.020 vacunas de Pfizer del último informe de Sanidad

#HayAlternativa https://t.co/ClWWuLEgqA"
📩,4,1.1362695520000001,0.28406738800000003,0.5058799,"📩 PSC 👉 Gobierno con la derecha de Cs o repetición electoral.

📩 ERC o CUP 👉 (Des)gobierno procesista con la derecha de JxCat o repetición electoral.

Si eres de izquierdas y quieres un cambio, sólo hay una papeleta. ⬇️

Habrá quien se enfade, pero es la puñetera verdad. https://t.co/DbJMMs9ros"
🟣,1,0.2707515,0.2707515,0.2707515,"🟣 @Adrilastra: “Estos días recordaba las palabras de María Cambrils de ‘no se puede ser socialista sin ser feminista’. Y decimos siempre que no es solo una cita bonita, es que encarna una reflexión muy profunda sobre dos corrientes de pensamiento: el socialismo y el feminismo"" https://t.co/1otpbmQD6W"
👦,1,0.2695813,0.2695813,0.2695813,"🚨Hoy ➕ que nunca #SanchezDimisión. Hay que parar esta ley #StopLeyCelaá. La manipulación es tal que la #calidad, la #libertad, el #esfuerzo, la #competitividad … han dado paso a la #mediocridad y a la #manipulación. Y con nuestros niñ@s 👦 👧 no se juega. @populares @DiezMoneo https://t.co/R0KnKVzbyn"
👧,1,0.2695813,0.2695813,0.2695813,"🚨Hoy ➕ que nunca #SanchezDimisión. Hay que parar esta ley #StopLeyCelaá. La manipulación es tal que la #calidad, la #libertad, el #esfuerzo, la #competitividad … han dado paso a la #mediocridad y a la #manipulación. Y con nuestros niñ@s 👦 👧 no se juega. @populares @DiezMoneo https://t.co/R0KnKVzbyn"
☮️,1,0.25023085,0.25023085,0.25023085,"☮️ Hoy hemos vivido un gesto político que quedará para la historia. Nunca debería de haber sucedido. El futuro se construye sin violencia; recordando también lo malo que hemos pasado.

Ahora falta aún que la derecha condene la violencia fascista del régimen franquista 👇 https://t.co/KqDW6RDIyq"
🤦🏻‍♀️,5,1.24960601,0.24992120199999998,0.7618585999999999,"“Hijo, hija, hije.
Niño, niña, niñe”...

La igualdad se defiende con propuestas y trabajo, favoreciendo la conciliación, luchando contra la brecha salarial... Pero la ministra Irene Montero prefiere dedicar el tiempo a atacar a la lengua española y hacer este ridículo 🤦🏻‍♀️ https://t.co/R6KfrjzLON"
