previous_emoji,original_text,toxicity,emplaced_emoji,text_replaced,toxicity_replaced
 🇪🇸,"Lo extremadamente peligroso es pactar con los Filoetarras, los Golpistas y todos los enemigos de España 🇪🇸 siguiendo las instrucciones de Pedro Mentiras en el @Congreso_Es 
¿Como se lo explicas a los toledanos ? 
#SoloQuedaVox 

 https://t.co/KDz0Tt57kt",0.493944,🤥,"Lo extremadamente peligroso es pactar con los Filoetarras, los Golpistas y todos los enemigos de España 🤥 siguiendo las instrucciones de Pedro Mentiras en el @Congreso_Es 
¿Como se lo explicas a los toledanos ? 
#SoloQuedaVox 

 https://t.co/KDz0Tt57kt",0.9948264956474304
 🇪🇸,"Lo extremadamente peligroso es pactar con los Filoetarras, los Golpistas y todos los enemigos de España 🇪🇸 siguiendo las instrucciones de Pedro Mentiras en el @Congreso_Es 
¿Como se lo explicas a los toledanos ? 
#SoloQuedaVox 

 https://t.co/KDz0Tt57kt",0.493944,🤮,"Lo extremadamente peligroso es pactar con los Filoetarras, los Golpistas y todos los enemigos de España 🤮 siguiendo las instrucciones de Pedro Mentiras en el @Congreso_Es 
¿Como se lo explicas a los toledanos ? 
#SoloQuedaVox 

 https://t.co/KDz0Tt57kt",0.9948264956474304
 🇪🇸,"Lo extremadamente peligroso es pactar con los Filoetarras, los Golpistas y todos los enemigos de España 🇪🇸 siguiendo las instrucciones de Pedro Mentiras en el @Congreso_Es 
¿Como se lo explicas a los toledanos ? 
#SoloQuedaVox 

 https://t.co/KDz0Tt57kt",0.493944,⛔,"Lo extremadamente peligroso es pactar con los Filoetarras, los Golpistas y todos los enemigos de España ⛔ siguiendo las instrucciones de Pedro Mentiras en el @Congreso_Es 
¿Como se lo explicas a los toledanos ? 
#SoloQuedaVox 

 https://t.co/KDz0Tt57kt",0.99471116065979
 🇪🇸,"Lo extremadamente peligroso es pactar con los Filoetarras, los Golpistas y todos los enemigos de España 🇪🇸 siguiendo las instrucciones de Pedro Mentiras en el @Congreso_Es 
¿Como se lo explicas a los toledanos ? 
#SoloQuedaVox 

 https://t.co/KDz0Tt57kt",0.493944,🌈,"Lo extremadamente peligroso es pactar con los Filoetarras, los Golpistas y todos los enemigos de España 🌈 siguiendo las instrucciones de Pedro Mentiras en el @Congreso_Es 
¿Como se lo explicas a los toledanos ? 
#SoloQuedaVox 

 https://t.co/KDz0Tt57kt",0.995271623134613
 🇪🇸,"Lo extremadamente peligroso es pactar con los Filoetarras, los Golpistas y todos los enemigos de España 🇪🇸 siguiendo las instrucciones de Pedro Mentiras en el @Congreso_Es 
¿Como se lo explicas a los toledanos ? 
#SoloQuedaVox 

 https://t.co/KDz0Tt57kt",0.493944,❌,"Lo extremadamente peligroso es pactar con los Filoetarras, los Golpistas y todos los enemigos de España ❌ siguiendo las instrucciones de Pedro Mentiras en el @Congreso_Es 
¿Como se lo explicas a los toledanos ? 
#SoloQuedaVox 

 https://t.co/KDz0Tt57kt",0.994900643825531
 🇪🇸,"Lo extremadamente peligroso es pactar con los Filoetarras, los Golpistas y todos los enemigos de España 🇪🇸 siguiendo las instrucciones de Pedro Mentiras en el @Congreso_Es 
¿Como se lo explicas a los toledanos ? 
#SoloQuedaVox 

 https://t.co/KDz0Tt57kt",0.493944,🤡,"Lo extremadamente peligroso es pactar con los Filoetarras, los Golpistas y todos los enemigos de España 🤡 siguiendo las instrucciones de Pedro Mentiras en el @Congreso_Es 
¿Como se lo explicas a los toledanos ? 
#SoloQuedaVox 

 https://t.co/KDz0Tt57kt",0.9951167106628418
 🇪🇸,"Lo extremadamente peligroso es pactar con los Filoetarras, los Golpistas y todos los enemigos de España 🇪🇸 siguiendo las instrucciones de Pedro Mentiras en el @Congreso_Es 
¿Como se lo explicas a los toledanos ? 
#SoloQuedaVox 

 https://t.co/KDz0Tt57kt",0.493944,🤬,"Lo extremadamente peligroso es pactar con los Filoetarras, los Golpistas y todos los enemigos de España 🤬 siguiendo las instrucciones de Pedro Mentiras en el @Congreso_Es 
¿Como se lo explicas a los toledanos ? 
#SoloQuedaVox 

 https://t.co/KDz0Tt57kt",0.9948264956474304
 🇪🇸,"Lo extremadamente peligroso es pactar con los Filoetarras, los Golpistas y todos los enemigos de España 🇪🇸 siguiendo las instrucciones de Pedro Mentiras en el @Congreso_Es 
¿Como se lo explicas a los toledanos ? 
#SoloQuedaVox 

 https://t.co/KDz0Tt57kt",0.493944,😡,"Lo extremadamente peligroso es pactar con los Filoetarras, los Golpistas y todos los enemigos de España 😡 siguiendo las instrucciones de Pedro Mentiras en el @Congreso_Es 
¿Como se lo explicas a los toledanos ? 
#SoloQuedaVox 

 https://t.co/KDz0Tt57kt",0.9947273135185242
 🇪🇸,"Lo extremadamente peligroso es pactar con los Filoetarras, los Golpistas y todos los enemigos de España 🇪🇸 siguiendo las instrucciones de Pedro Mentiras en el @Congreso_Es 
¿Como se lo explicas a los toledanos ? 
#SoloQuedaVox 

 https://t.co/KDz0Tt57kt",0.493944,🇪🇸,"Lo extremadamente peligroso es pactar con los Filoetarras, los Golpistas y todos los enemigos de España 🇪🇸 siguiendo las instrucciones de Pedro Mentiras en el @Congreso_Es 
¿Como se lo explicas a los toledanos ? 
#SoloQuedaVox 

 https://t.co/KDz0Tt57kt",0.9948225021362305
 🇪🇸,"Lo extremadamente peligroso es pactar con los Filoetarras, los Golpistas y todos los enemigos de España 🇪🇸 siguiendo las instrucciones de Pedro Mentiras en el @Congreso_Es 
¿Como se lo explicas a los toledanos ? 
#SoloQuedaVox 

 https://t.co/KDz0Tt57kt",0.493944,🌹,"Lo extremadamente peligroso es pactar con los Filoetarras, los Golpistas y todos los enemigos de España 🌹 siguiendo las instrucciones de Pedro Mentiras en el @Congreso_Es 
¿Como se lo explicas a los toledanos ? 
#SoloQuedaVox 

 https://t.co/KDz0Tt57kt",0.9952940344810486
 🇪🇸,"Lo extremadamente peligroso es pactar con los Filoetarras, los Golpistas y todos los enemigos de España 🇪🇸 siguiendo las instrucciones de Pedro Mentiras en el @Congreso_Es 
¿Como se lo explicas a los toledanos ? 
#SoloQuedaVox 

 https://t.co/KDz0Tt57kt",0.493944,🚫,"Lo extremadamente peligroso es pactar con los Filoetarras, los Golpistas y todos los enemigos de España 🚫 siguiendo las instrucciones de Pedro Mentiras en el @Congreso_Es 
¿Como se lo explicas a los toledanos ? 
#SoloQuedaVox 

 https://t.co/KDz0Tt57kt",0.9947876930236816
 👇,"De los creadores de ""la fiscalía te lo afina” y “controlaremos por detrás el Supremo” ahora viene “si gobernamos, la jodienda de los fiscales puede cambiar”. 👇 https://t.co/JtUMVAZMTD",0.49377137,🤥,"De los creadores de ""la fiscalía te lo afina” y “controlaremos por detrás el Supremo” ahora viene “si gobernamos, la jodienda de los fiscales puede cambiar”. 🤥 https://t.co/JtUMVAZMTD",0.9730129241943359
 👇,"De los creadores de ""la fiscalía te lo afina” y “controlaremos por detrás el Supremo” ahora viene “si gobernamos, la jodienda de los fiscales puede cambiar”. 👇 https://t.co/JtUMVAZMTD",0.49377137,🤮,"De los creadores de ""la fiscalía te lo afina” y “controlaremos por detrás el Supremo” ahora viene “si gobernamos, la jodienda de los fiscales puede cambiar”. 🤮 https://t.co/JtUMVAZMTD",0.9730129241943359
 👇,"De los creadores de ""la fiscalía te lo afina” y “controlaremos por detrás el Supremo” ahora viene “si gobernamos, la jodienda de los fiscales puede cambiar”. 👇 https://t.co/JtUMVAZMTD",0.49377137,⛔,"De los creadores de ""la fiscalía te lo afina” y “controlaremos por detrás el Supremo” ahora viene “si gobernamos, la jodienda de los fiscales puede cambiar”. ⛔ https://t.co/JtUMVAZMTD",0.9762637615203857
 👇,"De los creadores de ""la fiscalía te lo afina” y “controlaremos por detrás el Supremo” ahora viene “si gobernamos, la jodienda de los fiscales puede cambiar”. 👇 https://t.co/JtUMVAZMTD",0.49377137,🌈,"De los creadores de ""la fiscalía te lo afina” y “controlaremos por detrás el Supremo” ahora viene “si gobernamos, la jodienda de los fiscales puede cambiar”. 🌈 https://t.co/JtUMVAZMTD",0.9634972810745239
 👇,"De los creadores de ""la fiscalía te lo afina” y “controlaremos por detrás el Supremo” ahora viene “si gobernamos, la jodienda de los fiscales puede cambiar”. 👇 https://t.co/JtUMVAZMTD",0.49377137,❌,"De los creadores de ""la fiscalía te lo afina” y “controlaremos por detrás el Supremo” ahora viene “si gobernamos, la jodienda de los fiscales puede cambiar”. ❌ https://t.co/JtUMVAZMTD",0.9790046215057373
 👇,"De los creadores de ""la fiscalía te lo afina” y “controlaremos por detrás el Supremo” ahora viene “si gobernamos, la jodienda de los fiscales puede cambiar”. 👇 https://t.co/JtUMVAZMTD",0.49377137,🤡,"De los creadores de ""la fiscalía te lo afina” y “controlaremos por detrás el Supremo” ahora viene “si gobernamos, la jodienda de los fiscales puede cambiar”. 🤡 https://t.co/JtUMVAZMTD",0.9744214415550232
 👇,"De los creadores de ""la fiscalía te lo afina” y “controlaremos por detrás el Supremo” ahora viene “si gobernamos, la jodienda de los fiscales puede cambiar”. 👇 https://t.co/JtUMVAZMTD",0.49377137,🤬,"De los creadores de ""la fiscalía te lo afina” y “controlaremos por detrás el Supremo” ahora viene “si gobernamos, la jodienda de los fiscales puede cambiar”. 🤬 https://t.co/JtUMVAZMTD",0.9730129241943359
 👇,"De los creadores de ""la fiscalía te lo afina” y “controlaremos por detrás el Supremo” ahora viene “si gobernamos, la jodienda de los fiscales puede cambiar”. 👇 https://t.co/JtUMVAZMTD",0.49377137,😡,"De los creadores de ""la fiscalía te lo afina” y “controlaremos por detrás el Supremo” ahora viene “si gobernamos, la jodienda de los fiscales puede cambiar”. 😡 https://t.co/JtUMVAZMTD",0.9875220656394958
 👇,"De los creadores de ""la fiscalía te lo afina” y “controlaremos por detrás el Supremo” ahora viene “si gobernamos, la jodienda de los fiscales puede cambiar”. 👇 https://t.co/JtUMVAZMTD",0.49377137,🇪🇸,"De los creadores de ""la fiscalía te lo afina” y “controlaremos por detrás el Supremo” ahora viene “si gobernamos, la jodienda de los fiscales puede cambiar”. 🇪🇸 https://t.co/JtUMVAZMTD",0.975445032119751
 👇,"De los creadores de ""la fiscalía te lo afina” y “controlaremos por detrás el Supremo” ahora viene “si gobernamos, la jodienda de los fiscales puede cambiar”. 👇 https://t.co/JtUMVAZMTD",0.49377137,🌹,"De los creadores de ""la fiscalía te lo afina” y “controlaremos por detrás el Supremo” ahora viene “si gobernamos, la jodienda de los fiscales puede cambiar”. 🌹 https://t.co/JtUMVAZMTD",0.9487248659133911
 👇,"De los creadores de ""la fiscalía te lo afina” y “controlaremos por detrás el Supremo” ahora viene “si gobernamos, la jodienda de los fiscales puede cambiar”. 👇 https://t.co/JtUMVAZMTD",0.49377137,🚫,"De los creadores de ""la fiscalía te lo afina” y “controlaremos por detrás el Supremo” ahora viene “si gobernamos, la jodienda de los fiscales puede cambiar”. 🚫 https://t.co/JtUMVAZMTD",0.9775019288063049
 🙈,"Parece que los terraplanistas se han vuelto a tragar otro bulaco y están tuiteando #TuPrimerLouisVuittonIrene.

A ver, chavalería incel y voxera. Que no es de @IreneMontero el bolso. Que es mentira.

¿Para ser de ultraderecha hay que comer bulos desayuno, comida y cena? 🙈",0.48755354,🤥,"Parece que los terraplanistas se han vuelto a tragar otro bulaco y están tuiteando #TuPrimerLouisVuittonIrene.

A ver, chavalería incel y voxera. Que no es de @IreneMontero el bolso. Que es mentira.

¿Para ser de ultraderecha hay que comer bulos desayuno, comida y cena? 🤥",0.9942284822463989
